section,role,path,exists,size_bytes,sha256,claim_supported
"Uncertainty and OOD","calibration_manifest","experiments\phase6_4\phase6_4_uncertainty_calibration_manifest.json","True","1032","184289ca28801edd8a631816b6b2aa8385022d87b0bee5efc25ddee9a1485eb4","Uncertainty calibration evidence"
"Connectivity Resilience","connectivity_manifest","experiments\can_hil\phase5_16\phase5_16_connectivity_recovery_manifest.json","True","7906","f6de1f9d6b88dfb9c15b1f20e2448d2ebaa7c9ddaa9879d6b2ba6316823b9fae","Connectivity loss and recovery validation"
"Connectivity Resilience","synchronization_manifest","experiments\can_hil\phase5_17\phase5_17_secure_synchronization_manifest.json","True","17826","6572e2abdb947ee51d4459dee0c0b7948f611acc7ae5804f23221e59f418739d","Secure synchronization and SOC handoff"
"Forensic Integrity","integrity_manifest","experiments\can_hil\phase5_15\phase5_15_integrity_tamper_manifest.json","True","7086","b5c1f188e3f99de4b916291daff4e8fef15c5f9d34d304ea14d4339aaa1a711f","Integrity and tamper validation"
"Forensic Integrity","adversarial_integrity_manifest","experiments\can_hil\phase5_18\phase5_18_adversarial_integrity_validation_manifest.json","True","15374","e52189c0a79d054d0c35d37b52516627b12b6d01ec509e9b1d35ea799aa41c5d","Adversarial integrity validation"
"End-to-End Resilience","end_to_end_manifest","experiments\can_hil\phase5_19\phase5_19_end_to_end_resilience_validation_manifest.json","True","16532","b1b588e94c2c32112765e5d28ac7db9b3d627a2602d682b40bac3a6bfd005334","End-to-end resilience validation"
"End-to-End Resilience","resilience_scorecard","experiments\can_hil\phase5_20\phase5_20_resilience_scorecard_manifest.json","True","19518","93e46f38e4c3136042bfbf687a3b562cfd8dfbb474eade6a312b0c4c7bb55434","Resilience scorecard"
"End-to-End Resilience","resilience_evidence_matrix","experiments\can_hil\phase5_21\phase5_21_resilience_evidence_matrix_manifest.json","True","19349","bf420122dcc7d7d2c34f7646bc9460ac5e1f9b61f84c01b1827bd046366abeff","Scenario-level evidence matrix"
"Safety Architecture","safety_architecture","docs\safety_architecture.md","True","7741","f80fcb4921dd84e7d65d566025a3829d7974a5f98d5b248ad157b49f6097bcda","Safety-oriented architecture"
"Safety Architecture","threat_model","docs\threat_model.md","True","3504","3bc21a1979376f650ce033a2ca111213d7ccc18797932d5f1be9921a8e03fa38","Threat model and safety/security boundaries"
"SOC/XDR Architecture","cortex_xdr_architecture","docs\cortex_xdr_integration.md","True","10274","ba39ee0ad5919d2458cf6346350a56bddb5e51988de12eeaa7a5b0a18faf745d","Cortex XDR-compatible architecture"
"Explainability","explainability_documentation","docs\FINAL_RESEARCH_DOCUMENTATION.md","True","13471","dceb8a2a3f222ae99d3975d9542d67919c0394e87b0f85b14940446a7a03da5f","Explainability scope and methodology"
"Reproducibility","evidence_consolidation","experiments\final_release\final_evidence_consolidation.json","True","71634","ddabfdf9b809d7f24d5ad64d769c2ed7c2e89189e286dce937028c8556ea9919","Consolidated evidence inventory"
"Reproducibility","evidence_index","experiments\final_release\final_evidence_index.csv","True","34068","aea504b09446e8ce5b378d24aa3e77808742450206fd43c08c17de11ebb2e6d8","Evidence index and artifact hashes"
"Reproducibility","reproducibility_audit","experiments\final_release\final_reproducibility_audit.json","True","5988","cbc2d97efdabdcfb135f970764bda5528f5db33012a03e3d906653c942e72cd8","Reproducibility validation"
"Claims and Limitations","claims_limitations_document","docs\final_research_claims_and_limitations.md","True","8984","23a631043aa96e40f57c5c36a592c98a37f57f1cf0581b68233651207f611c47","Authoritative claims and limitations"
"Claims and Limitations","claims_limitations_audit","experiments\final_release\final_claims_limitations_audit.json","True","6714","1a5a1aa4fd06642722496a2d04ef3f3c1e76bb4a8bc4a415c59c228b7ef408fd","Claims and limitations governance validation"
"Final Release Governance","integrated_audit","experiments\final_release\final_integrated_audit_v2.json","True","12798","808582c23fd26726152303239a4ac0cd3eae953728113c59b691158f69183887","Final integrated audit"
"Final Release Governance","evidence_consolidation","experiments\final_release\final_evidence_consolidation.json","True","71634","ddabfdf9b809d7f24d5ad64d769c2ed7c2e89189e286dce937028c8556ea9919","Final evidence consolidation"
"Final Release Governance","reproducibility_audit","experiments\final_release\final_reproducibility_audit.json","True","5988","cbc2d97efdabdcfb135f970764bda5528f5db33012a03e3d906653c942e72cd8","Final reproducibility audit"
"Final Release Governance","claims_limitations_audit","experiments\final_release\final_claims_limitations_audit.json","True","6714","1a5a1aa4fd06642722496a2d04ef3f3c1e76bb4a8bc4a415c59c228b7ef408fd","Final claims and limitations audit"
