scenario_id,connectivity_state,hmi_status,hmi_message,forensic_state,synchronization_state,soc_handoff_state,records,local_preservation,disconnect_start,disconnect_end,event_timestep,evidence_source,laboratory_generated,physical_vehicle,direct_actuation
C04_HV_POWER_ATTACK,DISCONNECTED,CONNECTIVITY_DEGRADED,Safety telemetry connection unavailable. Local evidence preservation active.,LOCAL_FORENSIC_BUFFER,DEFERRED,DEFERRED,105,True,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C04_HV_POWER_ATTACK,RECOVERED,RECOVERY_READY,Connectivity recovered. Evidence synchronization and SOC handoff ready.,RECOVERY_QUEUE,READY,READY,75,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C05_BATTERY_THERMAL_ATTACK,CONNECTED,NORMAL,Safety telemetry connected.,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,285,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C05_BATTERY_THERMAL_ATTACK,DISCONNECTED,CONNECTIVITY_DEGRADED,Safety telemetry connection unavailable. Local evidence preservation active.,LOCAL_FORENSIC_BUFFER,DEFERRED,DEFERRED,105,True,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C05_BATTERY_THERMAL_ATTACK,RECOVERED,RECOVERY_READY,Connectivity recovered. Evidence synchronization and SOC handoff ready.,RECOVERY_QUEUE,READY,READY,75,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C06_HV_CONTACTOR_ATTACK,CONNECTED,NORMAL,Safety telemetry connected.,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,285,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C06_HV_CONTACTOR_ATTACK,DISCONNECTED,CONNECTIVITY_DEGRADED,Safety telemetry connection unavailable. Local evidence preservation active.,LOCAL_FORENSIC_BUFFER,DEFERRED,DEFERRED,105,True,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C06_HV_CONTACTOR_ATTACK,RECOVERED,RECOVERY_READY,Connectivity recovered. Evidence synchronization and SOC handoff ready.,RECOVERY_QUEUE,READY,READY,75,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,CONNECTED,NORMAL,Safety telemetry connected.,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,285,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,DISCONNECTED,CONNECTIVITY_DEGRADED,Safety telemetry connection unavailable. Local evidence preservation active.,LOCAL_FORENSIC_BUFFER,DEFERRED,DEFERRED,105,True,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C07_HEARTBEAT_INTEGRITY_ATTACK,RECOVERED,RECOVERY_READY,Connectivity recovered. Evidence synchronization and SOC handoff ready.,RECOVERY_QUEUE,READY,READY,75,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C08_SEQUENCE_GATEWAY_ATTACK,CONNECTED,NORMAL,Safety telemetry connected.,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,285,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C08_SEQUENCE_GATEWAY_ATTACK,DISCONNECTED,CONNECTIVITY_DEGRADED,Safety telemetry connection unavailable. Local evidence preservation active.,LOCAL_FORENSIC_BUFFER,DEFERRED,DEFERRED,105,True,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C08_SEQUENCE_GATEWAY_ATTACK,RECOVERED,RECOVERY_READY,Connectivity recovered. Evidence synchronization and SOC handoff ready.,RECOVERY_QUEUE,READY,READY,75,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C09_RESTRAINT_DOMAIN_ATTACK,CONNECTED,NORMAL,Safety telemetry connected.,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,285,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C09_RESTRAINT_DOMAIN_ATTACK,DISCONNECTED,CONNECTIVITY_DEGRADED,Safety telemetry connection unavailable. Local evidence preservation active.,LOCAL_FORENSIC_BUFFER,DEFERRED,DEFERRED,105,True,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C09_RESTRAINT_DOMAIN_ATTACK,RECOVERED,RECOVERY_READY,Connectivity recovered. Evidence synchronization and SOC handoff ready.,RECOVERY_QUEUE,READY,READY,75,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C10_MULTI_DOMAIN_ATTACK,CONNECTED,NORMAL,Safety telemetry connected.,CONNECTED_STREAM,NOT_REQUIRED,NOT_REQUIRED,285,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C10_MULTI_DOMAIN_ATTACK,DISCONNECTED,CONNECTIVITY_DEGRADED,Safety telemetry connection unavailable. Local evidence preservation active.,LOCAL_FORENSIC_BUFFER,DEFERRED,DEFERRED,105,True,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
C10_MULTI_DOMAIN_ATTACK,RECOVERED,RECOVERY_READY,Connectivity recovered. Evidence synchronization and SOC handoff ready.,RECOVERY_QUEUE,READY,READY,75,False,300,305,300,LOCAL_FORENSIC_BUFFER,True,False,False
