table,variable,manual_page,verification_status,source_verification_status,feature_level,domain,semantic_category,feature_role,data_type,format,values_length,definition_length,cyber_physical_relevance,predictive_use,target_candidate,duplicate_documentation,review_required
vehicle.csv,ROLLOVER,269,VERIFIED,VERIFIED_SAS_NAME_AND_DEFINITION,vehicle,vehicle,vehicle_dynamics,predictor,numeric,1 numeric,,,high,historical_safety_context,no,no,no
vehicle.csv,SPEEDREL,366,VERIFIED,VERIFIED_SAS_NAME_AND_DEFINITION,vehicle,vehicle,vehicle_dynamics,predictor,numeric,1 numeric,,,high,historical_safety_context,no,no,no
vehicle.csv,TRAV_SP,264,VERIFIED,VERIFIED_SAS_NAME_AND_DEFINITION,vehicle,vehicle,vehicle_dynamics,predictor,numeric,3 numeric,,,high,historical_safety_context,no,no,no
vehicle.csv,VALIGN,431,VERIFIED,VERIFIED_SAS_NAME_AND_DEFINITION,vehicle,vehicle,roadway_context,predictor,numeric,1 numeric,,,medium,historical_safety_context,no,no,no
vehicle.csv,VNUM_LAN,426,VERIFIED,VERIFIED_SAS_NAME_AND_DEFINITION,vehicle,vehicle,roadway_context,predictor,numeric,1 numeric,,,medium,historical_safety_context,no,no,no
vehicle.csv,VPROFILE,433,VERIFIED,VERIFIED_SAS_NAME_AND_DEFINITION,vehicle,vehicle,roadway_context,predictor,numeric,1 numeric,,,medium,historical_safety_context,no,no,no
vehicle.csv,VSPD_LIM,429,VERIFIED,VERIFIED_SAS_NAME_AND_DEFINITION,vehicle,vehicle,roadway_context,predictor,numeric,2 numeric,,,medium,historical_safety_context,no,no,no
vehicle.csv,VSURCOND,437,VERIFIED,VERIFIED_SAS_NAME_AND_DEFINITION,vehicle,vehicle,roadway_context,predictor,numeric,2 numeric,,,medium,historical_safety_context,no,no,no
vehicle.csv,VTRAFCON,440,VERIFIED_MANUAL_REVIEW,SAS_NAME_MATCH_REQUIRES_REVIEW,vehicle,vehicle,roadway_context,predictor,numeric,2 numeric,,,medium,historical_safety_context,no,no,no
vehicle.csv,VTRAFWAY,423,VERIFIED,VERIFIED_SAS_NAME_AND_DEFINITION,vehicle,vehicle,roadway_context,predictor,numeric,1 numeric,,,medium,historical_safety_context,no,no,no
vision.csv,VISION,448,VERIFIED,VERIFIED_SAS_NAME_AND_DEFINITION,environment,vision,environmental_context,predictor,numeric,2 numeric. Select All That Apply.,,,medium,historical_safety_context,no,no,no
weather.csv,WEATHER,142,VERIFIED,VERIFIED_SAS_NAME_AND_DEFINITION,environment,weather,environmental_context,predictor,numeric,2 numeric. Select All That Apply.,,,medium,historical_safety_context,no,no,no
