"dataset","year","table","column_position","variable","role","family","identifier_flag","name_field_flag","survey_design_flag","candidate_feature","candidate_target","candidate_context","cyber_physical_relevance","occupant_relevance","vehicle_relevance","event_relevance","requires_codebook_verification","tier","verification_priority"
"CRSS","2024","vehicle.csv","142","VSPD_LIM","candidate_feature","vehicle","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","144","VALIGN","candidate_feature","vehicle","False","False","False","True","False","False","False","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","146","VPROFILE","candidate_feature","vehicle","False","False","False","True","False","False","False","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","148","VSURCOND","candidate_feature","vehicle","False","False","False","True","False","False","False","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","150","VTRAFCON","candidate_feature","vehicle","False","False","False","True","False","False","False","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vehicle.csv","166","ACC_TYPE","candidate_feature","vehicle","False","False","False","True","False","False","True","False","False","True","True","Tier-1","HIGH"
"CRSS","2024","vision.csv","14","VISION","candidate_feature","environment","False","False","False","True","False","False","True","False","False","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","147","FORWARDCOLLISIONWARNING","candidate_feature","vehicle_technology","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","149","DYNAMICBRAKESUPPORT","candidate_feature","vehicle_technology","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","153","PEDESTRIANAUTOEMERGENCYBRAKING","candidate_feature","vehicle_technology","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","155","BLINDSPOTWARNING","candidate_feature","vehicle_technology","False","False","False","True","False","False","True","False","False","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","159","LANEDEPARTUREWARNING","candidate_feature","vehicle_technology","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","161","LANEKEEPINGASSISTANCE","candidate_feature","vehicle_technology","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","163","LANECENTERINGASSISTANCE","candidate_feature","vehicle_technology","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","181","ADAPTIVECRUISECONTROL","candidate_feature","vehicle_technology","False","False","False","True","False","False","True","False","False","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","183","ANTILOCKBRAKESYSTEM","candidate_feature","vehicle_technology","False","False","False","True","False","False","True","False","True","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","185","ELECTRONICSTABILITYCONTROL","candidate_feature","vehicle_technology","False","False","False","True","False","False","True","False","False","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","191","EVENTDATARECORDER","candidate_feature","vehicle_technology","False","False","False","True","False","False","True","False","False","True","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","193","TRACTIONCONTROL","candidate_feature","vehicle_technology","False","False","False","True","False","False","True","False","False","False","True","Tier-1","HIGH"
"CRSS","2024","vpicdecode.csv","195","AUTOPEDESTRIANALERTINGSOUND","candidate_feature","vehicle_technology","False","False","False","True","False","False","False","True","False","False","True","Tier-1","HIGH"
"CRSS","2024","weather.csv","13","WEATHER","candidate_feature","environment","False","False","False","True","False","False","False","False","False","False","False","Tier-1","HIGH"
